ID,Categoría,Subcategoría,Palabras Clave (Para el bot),Respuesta Verificada (Lenguaje sencillo para el chat),Disclaimer Obligatorio (¡Crítico!),Paginas,Documento,Enlace
ANMI-0011,Definición y Síntomas,Síntoma: Pica (Tierra),"tierra, come, ganas, tiza, pica, hijo, comer","""🩺 A veces, un síntoma de *anemia* por falta de *hierro* es la 'Pica', que es el deseo de comer cosas que no son alimentos, como tierra, tiza, hielo o cabello.""","""Si observas esta conducta, es muy importante que lo comentes en su próximo control de salud.""",16,Resolucion_Ministerial_n_251_2024_MINSA.pdf,https://drive.google.com/file/d/1hZSXK8y7sbgNLRXKrxErAFSkjh8kfkW0/view?usp=drive_link
ANMI-0012,Definición y Síntomas,Síntoma: Mareos,"mareos, marea, vertigo, embarazo, anemia","""🩺 En casos más intensos, la *anemia* puede provocar mareos o vértigos, ya que no llega suficiente oxígeno al cerebro.""","""Si tú o tu hijo sienten mareos, deben ser evaluados por un médico.""",16,Resolucion_Ministerial_n_251_2024_MINSA.pdf,https://drive.google.com/file/d/1hZSXK8y7sbgNLRXKrxErAFSkjh8kfkW0/view?usp=drive_link
ANMI-0013,Definición y Síntomas,Anemia Silenciosa,"sintomas, anemia, silenciosa, siempre","""🩺 No siempre. A veces la *anemia* puede ser leve y pasar desapercibida, sin mostrar síntomas claros al inicio. Por eso se le llama una 'enfermedad silenciosa'.""","""Como la anemia puede ser silenciosa, la única forma de detectarla a tiempo es con los controles de hemoglobina programados.""",6,Resolucion_Ministerial_n_251_2024_MINSA.pdf,https://drive.google.com/file/d/1hZSXK8y7sbgNLRXKrxErAFSkjh8kfkW0/view?usp=drive_link
ANMI-0014,Definición y Síntomas,Anemia Silenciosa (Variación),"anemia, pero, sintomas, descarte, hijo","""🩺 Es posible. Un niño puede verse bien por fuera, pero tener *anemia* leve. Por eso, no debemos confiarnos en la apariencia. Los *controles CRED* y los descartes son fundamentales.""","""La única forma segura de saberlo es con su prueba de hemoglobina. No esperes a que tenga síntomas.""",6,Resolucion_Ministerial_n_251_2024_MINSA.pdf,https://drive.google.com/file/d/1hZSXK8y7sbgNLRXKrxErAFSkjh8kfkW0/view?usp=drive_link
ANMI-0015,Definición y Síntomas,Consecuencias (General),"anemia, grave, riesgos, consecuencias","""🩺 Si la *anemia* no se trata, puede tener consecuencias serias. Afecta el desarrollo del cerebro, la capacidad de aprender, baja las defensas (se enferman más) y afecta el crecimiento.""","""Detectarla a tiempo es clave. Lleva al niño a sus controles CRED y acude a tus controles prenatales.""",135,Informe_Del_Seminario_La_Anemia_Infantil_En_El_Peru.pdf,https://drive.google.com/file/d/1GyYqcls4ZVrQlhs0_t7HuxM1MT-2sNwH/view?usp=drive_link
ANMI-0016,Definición y Síntomas,Consecuencias (Cerebro),"cerebral, cognitivo, dano, inteligencia, cerebro, desarrollo, afecta, anemia","""🩺 El cerebro necesita mucho *hierro* y oxígeno para crecer y crear conexiones (neuronas). La *anemia* limita ese 'alimento' clave, lo que puede afectar el aprendizaje y la memoria a largo plazo.""","""El desarrollo cerebral en los primeros 3 años es rapidísimo. Protegerlo de la anemia en esta etapa es vital.""",25-26,Informe_Del_Seminario_La_Anemia_Infantil_En_El_Peru.pdf,https://drive.google.com/file/d/1GyYqcls4ZVrQlhs0_t7HuxM1MT-2sNwH/view?usp=drive_link
ANMI-0017,Definición y Síntomas,Consecuencias (Crecimiento),"desarrollo, chato, fisico, queda, bajo, afecta, crecimiento","""🩺 Sí, la *anemia* puede llevar a un crecimiento deficiente y bajo desarrollo físico general. El cuerpo necesita energía y oxígeno para crecer, y la anemia se lo quita.""","""Un niño sano y fuerte es un niño sin anemia. Asegura sus controles.""",135,Informe_Del_Seminario_La_Anemia_Infantil_En_El_Peru.pdf,https://drive.google.com/file/d/1GyYqcls4ZVrQlhs0_t7HuxM1MT-2sNwH/view?usp=drive_link
ANMI-0018,Definición y Síntomas,Consecuencias (Defensas),"baja, defensas, susceptible, enfermedades, enferma, infecciones, mucho","""🩺 Sí, la *anemia* puede debilitar el sistema de defensas del niño. Esto hace que sea más susceptible a tener infecciones (como diarreas o resfríos) más seguido.""","""Prevenir la anemia también es ayudar a que esté más fuerte contra otras enfermedades.""",6,"Recomendaciones para la prevención y el
tratamiento de la deficiencia de hierro_menores 2años.pdf",https://drive.google.com/file/d/123N-iO-jF5GRCPCRPBIClJ9QHPlXh0AI/view?usp=drive_link
ANMI-0019,Definición y Síntomas,Consecuencias (Escolar),"rendimiento, escolar, problemas, aprendizaje, ira, colegio","""🩺 Las consecuencias de la *anemia* en los primeros años pueden verse más tarde. Puede reducir el rendimiento escolar y la capacidad de aprendizaje cuando entre al colegio.""","""Prevenir la anemia hoy es invertir en su futuro y su educación.""",135,Informe_Del_Seminario_La_Anemia_Infantil_En_El_Peru.pdf,https://drive.google.com/file/d/1GyYqcls4ZVrQlhs0_t7HuxM1MT-2sNwH/view?usp=drive_link
ANMI-0020,Definición y Síntomas,Consecuencias (Gestante),"anemia, riesgos, afecta, gestante, embarazo, bebe","""🩺 Tener *anemia* durante el embarazo es un riesgo. Aumenta las posibilidades de tener un parto prematuro o que tu bebé nazca con bajo peso.""","""Acude a tus controles prenatales y toma tus suplementos. Es vital para tu salud y la de tu bebé.""",6,Recomendaciones para la prevención y el tratamiento de la deficiencia de hierro.pdf,https://drive.google.com/file/d/123N-iO-jF5GRCPCRPBIClJ9QHPlXh0AI/view?usp=drive_link
ANMI-0021,Definición y Síntomas,Consecuencias (Gestante/Parto),"anemia, hemorragia, peligros, riesgos, parto, embarazo","""🩺 Para la madre, la *anemia* causa cansancio extremo y debilidad. Además, aumenta el riesgo de complicaciones serias como hemorragias graves después del parto.""","""Sigue todas las indicaciones de tu obstetra. Esta información es solo una guía general.""",6,Recomendaciones para la prevención y el tratamiento de la deficiencia de hierro.pdf,https://drive.google.com/file/d/123N-iO-jF5GRCPCRPBIClJ9QHPlXh0AI/view?usp=drive_link
ANMI-0022,Definición y Síntomas,Consecuencias (Gestante/Bebé),"bebe, anemia, nace, nacer, bajo, peso, afecta","""🩺 Si la madre tiene *anemia*, el bebé puede nacer con pocas reservas de *hierro*. Esto aumenta muchísimo el riesgo de que el propio bebé desarrolle anemia en sus primeros meses de vida.""","""Cuidándote tú durante el embarazo, también estás cuidando la salud de tu bebé.""",6,Recomendaciones para la prevención y el tratamiento de la deficiencia de hierro.pdf,https://drive.google.com/file/d/123N-iO-jF5GRCPCRPBIClJ9QHPlXh0AI/view?usp=drive_link
ANMI-0023,Definición y Síntomas,Consecuencias (Adulto),"adultos, trabajo, productividad, consecuencias, adulto","""🩺 En los adultos, la *anemia* (especialmente la no tratada) disminuye la productividad laboral y la capacidad física, causando cansancio y bajo rendimiento.""","""Si te sientes muy cansada o pálida, acude a un médico para un descarte.""",135,Informe_Del_Seminario_La_Anemia_Infantil_En_El_Peru.pdf,https://drive.google.com/file/d/1GyYqcls4ZVrQlhs0_t7HuxM1MT-2sNwH/view?usp=drive_link
ANMI-0024,Definición y Síntomas,Estadísticas (Perú),"anemia, comun, peru, porcentaje, ninos","""🩺 Sí, la *anemia* es un problema de salud pública prioritario en el Perú. Según la encuesta ENDES 2023, el 43.1% de los niños y niñas de 6 a 35 meses tienen anemia.""","""Es una cifra alta, por eso la prevención es una tarea de todos.""",16-17,Informe_Del_Seminario_La_Anemia_Infantil_En_El_Peru.pdf,https://drive.google.com/file/d/1GyYqcls4ZVrQlhs0_t7HuxM1MT-2sNwH/view?usp=drive_link
ANMI-0025,Definición y Síntomas,Estadísticas (Zonas),"anemia, rural, urbana, sierra","""🩺 La *anemia* afecta a todo el país. Es más alta en las áreas rurales (50.3%) que en las urbanas (40.2%). Regiones como Puno, Ucayali y Huancavelica han mostrado cifras altas.""","""No importa dónde vivas, debes llevar a tu hijo a sus controles.""",16-17,Informe_Del_Seminario_La_Anemia_Infantil_En_El_Peru.pdf,https://drive.google.com/file/d/1GyYqcls4ZVrQlhs0_t7HuxM1MT-2sNwH/view?usp=drive_link
ANMI-0026,Definición y Síntomas,Estadísticas (Edad),"edad, grupo, riesgo, bebes, anemia","""🩺 El grupo más afectado es el de los bebés de 6 a 18 meses. Es una etapa de crecimiento muy rápido donde necesitan mucho *hierro*, y a veces la comida no es suficiente.""","""Por eso, los controles y la suplementación a esta edad son tan importantes.""",16-17,Informe_Del_Seminario_La_Anemia_Infantil_En_El_Peru.pdf,https://drive.google.com/file/d/1GyYqcls4ZVrQlhs0_t7HuxM1MT-2sNwH/view?usp=drive_link
ANMI-0027,Definición y Síntomas,Estadísticas (Gestantes),"anemia, embarazadas, adolescentes","""🩺 Las gestantes también son un grupo de riesgo. Según los datos, cerca del 29% de las gestantes y el 23% de las adolescentes en el Perú también padecen de *anemia*.""","""El control prenatal y la suplementación con hierro y ácido fólico son claves.""",16-17,Informe_Del_Seminario_La_Anemia_Infantil_En_El_Peru.pdf,https://drive.google.com/file/d/1GyYqcls4ZVrQlhs0_t7HuxM1MT-2sNwH/view?usp=drive_link
ANMI-0028,Definición y Síntomas,Diagnóstico (Cómo) (Hemoglobina),"diagnostica, prueba, examen, descarte, hemoglobina, anemia","""🩺 El diagnóstico de *anemia* se hace únicamente con un examen de sangre para medir la *hemoglobina*. Puede ser con un pinchazo en el dedo (prueba rápida) o un análisis de sangre venosa.""","""Mi información no reemplaza un examen. La única forma de saberlo es en un centro de salud.""",15,Recomendaciones para la prevención y el tratamiento de la deficiencia de hierro.pdf,https://drive.google.com/file/d/123N-iO-jF5GRCPCRPBIClJ9QHPlXh0AI/view?usp=drive_link
ANMI-0029,Definición y Síntomas,Diagnóstico (Lugar),"gratis, prueba, descarte, hemoglobina, lugar","""🩺 Debes acudir al establecimiento de salud más cercano a tu casa (posta o *centro de salud*). Allí le harán su prueba de descarte de anemia como parte de sus *controles CRED*.""","""Esta prueba es fundamental para la salud de tu bebé.""",7,Resolucion_Ministerial_n_251_2024_MINSA.pdf,https://drive.google.com/file/d/1hZSXK8y7sbgNLRXKrxErAFSkjh8kfkW0/view?usp=drive_link
ANMI-0030,Definición y Síntomas,Diagnóstico (No visual) (Hemoglobina),"mirandolo, rosadito, ojo, diagnostico, hijo, visual","""🩺 No. Aunque la palidez es un síntoma, no puedes diagnosticarlo 'al ojo'. Muchos niños con *anemia* leve no se ven pálidos. La única forma segura es con su *prueba de hemoglobina*.""","""No te confíes de la apariencia. El control en el centro de salud es la única forma de saberlo.""",15,Recomendaciones para la prevención y el tratamiento de la deficiencia de hierro.pdf,https://drive.google.com/file/d/123N-iO-jF5GRCPCRPBIClJ9QHPlXh0AI/view?usp=drive_link
ANMI-0031,Prevención (Bebés),Medidas Clave (General),"anemia, tenga, consejos, plan, prevenir, evitar, prevencion, hijo, bebe","""🛡️ ¡Claro! Prevenir la anemia es una tarea de equipo. Las 5 medidas clave son:
*1.* Lactancia Materna Exclusiva los 6 primeros meses.
*2.* Corte oportuno del cordón al nacer.
*3.* Suplementación con hierro desde los 4 meses.
*4.* Alimentación rica en hierro desde los 6 meses.
*5.* Lavado de manos y agua segura.""","""Esta es la recomendación general. Sigue siempre las indicaciones personalizadas de tu centro de salud.""",21,Recomendaciones para la prevención y el tratamiento de la deficiencia de hierro.pdf,https://drive.google.com/file/d/123N-iO-jF5GRCPCRPBIClJ9QHPlXh0AI/view?usp=drive_link
ANMI-0032,Prevención (Bebés),Medidas Clave (Enfoque),"anemia, basicas, puntos, importante, prevenir, medidas, clave","""🛡️ La prevención se basa en varias cosas: darle solo pecho los primeros 6 meses, empezar su *suplemento de hierro* (gotas) a los 4 meses, y darle comida rica en hierro (como *sangrecita* e hígado) desde los 6 meses. ¡Y no olvides sus controles!""","""Cada una de estas acciones suma para proteger a tu bebé. No te saltes ninguna.""",61,Informe_Del_Seminario_La_Anemia_Infantil_En_El_Peru.pdf,https://drive.google.com/file/d/1GyYqcls4ZVrQlhs0_t7HuxM1MT-2sNwH/view?usp=drive_link
ANMI-0033,Prevención (Bebés),Medidas Clave (Simple),"anemia, tenga, tips, ayuda, prevenir, sano","""🛡️ Para que tu bebé crezca fuerte y sin anemia, asegúrate de darle sus gotitas de hierro todos los días desde los 4 meses y, al cumplir 6 meses, incluye en su papilla alimentos con mucho hierro, como el *hígado* de pollo o el *bazo*.""","""Recuerda que esta información no reemplaza una consulta. Acude a sus controles CRED.""",24,Recomendaciones para la prevención y el tratamiento de la deficiencia de hierro.pdf,https://drive.google.com/file/d/123N-iO-jF5GRCPCRPBIClJ9QHPlXh0AI/view?usp=drive_link
ANMI-0034,Prevención (Bebés),Lactancia (LME),"anemia, lme, previene, pecho, lactancia, ayuda, materna","""🛡️ ¡Sí! La *Lactancia Materna Exclusiva* (dar solo pecho, sin agüitas ni nada más) hasta los 6 meses es fundamental. Le da todos los nutrientes que necesita en esa primera etapa y lo protege de enfermedades.""","""La leche materna es el mejor alimento para los primeros 6 meses.""",21-22,Recomendaciones para la prevención y el tratamiento de la deficiencia de hierro.pdf,https://drive.google.com/file/d/123N-iO-jF5GRCPCRPBIClJ9QHPlXh0AI/view?usp=drive_link
ANMI-0035,Prevención (Bebés),Lactancia (Calostro),"calostro, leche, amarilla, primera, bueno","""🛡️ El calostro es la 'primera leche' (amarillita) que sale los primeros días después del parto. Es oro puro, ¡es la primera vacuna de tu bebé! Es fundamental para sus defensas y su desarrollo.""","""Asegúrate de darle el calostro a tu bebé. Es un regalo de vida.""",21-22,Recomendaciones para la prevención y el tratamiento de la deficiencia de hierro.pdf,https://drive.google.com/file/d/123N-iO-jF5GRCPCRPBIClJ9QHPlXh0AI/view?usp=drive_link
ANMI-0036,Prevención (Bebés),Lactancia (Duración),"prolongada, lactar, lactancia, despues, materna, leche, 6, meses","""🛡️ La recomendación es: *Lactancia Materna Exclusiva* hasta los 6 meses. Después, debes continuar dándole pecho junto con sus comidas (*alimentación complementaria*), hasta los 2 años o más.""","""Después de los 6 meses, la leche materna sigue siendo nutritiva, pero ya no es suficiente por sí sola. Necesita sus comidas además del pecho.""",21-22,Recomendaciones para la prevención y el tratamiento de la deficiencia de hierro.pdf,https://drive.google.com/file/d/123N-iO-jF5GRCPCRPBIClJ9QHPlXh0AI/view?usp=drive_link
ANMI-0037,Prevención (Bebés),Lactancia (Inicio),"vida, lactar, primera, hora, empezar, lactancia, inicio","""🛡️ La lactancia materna debe comenzar lo antes posible, idealmente dentro de la primera hora después del nacimiento. Ese primer contacto (piel con piel) es clave para el bebé y para la producción de leche.""","""Comenta esto en tu plan de parto. La primera hora es muy importante.""",21-22,Recomendaciones para la prevención y el tratamiento de la deficiencia de hierro.pdf,https://drive.google.com/file/d/123N-iO-jF5GRCPCRPBIClJ9QHPlXh0AI/view?usp=drive_link
ANMI-0038,Prevención (Bebés),Corte de Cordón (Definición),"cordon, corte, umbilical, clampaje, oportuno, cortar, tardio","""🛡️ El 'corte oportuno del cordón' es una acción de prevención clave. Significa que, al nacer, el *personal de salud* espera de 2 a 3 minutos antes de cortar (clampar) el cordón umbilical.""","""Esta es una práctica recomendada por el Ministerio de Salud.""",21,Recomendaciones para la prevención y el tratamiento de la deficiencia de hierro.pdf,https://drive.google.com/file/d/123N-iO-jF5GRCPCRPBIClJ9QHPlXh0AI/view?usp=drive_link
ANMI-0039,Prevención (Bebés),Corte de Cordón (Por qué),"esperar, cortar, beneficios, oportuno, clampaje, cordon, corte, tardio, sirve","""🛡️ Es muy importante porque en esos 2-3 minutos, pasa una gran cantidad de sangre 'extra' de la placenta al bebé. ¡Esa sangre es una reserva de *hierro* que lo protegerá contra la *anemia* en sus primeros meses de vida!""","""Pídele al personal que te atenderá en el parto que realice el corte oportuno del cordón.""",21,Recomendaciones para la prevención y el tratamiento de la deficiencia de hierro.pdf,https://drive.google.com/file/d/123N-iO-jF5GRCPCRPBIClJ9QHPlXh0AI/view?usp=drive_link
ANMI-0040,Prevención (Bebés),Corte de Cordón (Cuánto hierro),"hierro, placenta, reserva, nacer, cordon, sangre, cuanto","""🛡️ Al esperar 2 o 3 minutos para el corte del cordón, el bebé recibe ¡hasta un 25% de *hierro* adicional! Es un gran impulso para sus reservas naturales.""","""Es una acción sencilla que hace una gran diferencia para prevenir la anemia.""",21,Recomendaciones para la prevención y el tratamiento de la deficiencia de hierro.pdf,https://drive.google.com/file/d/123N-iO-jF5GRCPCRPBIClJ9QHPlXh0AI/view?usp=drive_link
ANMI-0041,Prevención (Bebés),Higiene (Lavado de manos),"manos, anemia, lavado, lavarse, previene, higiene","""🛡️ ¡Sí! El correcto *lavado de manos* con agua y jabón (antes de cocinar, antes de dar de lactar, después de ir al baño) es clave. Previene diarreas e infecciones que pueden causar o empeorar la *anemia*.""","""Un bebé sano y sin infecciones absorbe mucho mejor el hierro de sus alimentos.""",34,Resolucion_Ministerial_n_251_2024_MINSA.pdf,https://drive.google.com/file/d/1hZSXK8y7sbgNLRXKrxErAFSkjh8kfkW0/view?usp=drive_link
ANMI-0042,Prevención (Bebés),Higiene (Agua Segura),"agua, segura, hervida, clorar, diarrea, prevenir","""🛡️ Usar *agua segura* (hervida, clorada o embotellada) para beber y preparar los alimentos es fundamental. El agua contaminada puede traer parásitos y enfermedades diarreicas, que son enemigos en la lucha contra la *anemia*.""","""Proteger a tu familia de infecciones es también protegerlos de la anemia.""",34,Resolucion_Ministerial_n_251_2024_MINSA.pdf,https://drive.google.com/file/d/1hZSXK8y7sbgNLRXKrxErAFSkjh8kfkW0/view?usp=drive_link
ANMI-0043,Prevención (Bebés),Higiene (Parásitos),"parasitos, desparasitacion, intestinales, infecciones, anemia","""🛡️ Algunas infecciones intestinales o parásitos pueden causar *anemia* porque se 'roban' los nutrientes o causan pequeños sangrados. Por eso la higiene, el lavado de manos y el consumo de *agua segura* son tan importantes.""","""Sigue las indicaciones de tu centro de salud sobre la desparasitación para la familia.""",24,Resolucion_Ministerial_n_251_2024_MINSA.pdf,https://drive.google.com/file/d/1hZSXK8y7sbgNLRXKrxErAFSkjh8kfkW0/view?usp=drive_link
ANMI-0044,Prevención (Bebés),Controles CRED (Importancia),"cred, control, desarrollo, crecimiento, nino, sano, controles, sirve","""🛡️ Es muy importante que lleves a tu bebé a todos sus *controles CRED* (Crecimiento y Desarrollo). Allí lo pesan, lo miden, le dan sus vacunas y te entregan su *suplemento de hierro*.""","""En el CRED también te enseñarán cómo darle su suplemento y cómo preparar sus comidas.""",189,Informe_Del_Seminario_La_Anemia_Infantil_En_El_Peru.pdf,https://drive.google.com/file/d/1GyYqcls4ZVrQlhs0_t7HuxM1MT-2sNwH/view?usp=drive_link
ANMI-0045,Prevención (Bebés),Controles CRED (Descarte) (Hemoglobina),"anemia, hacen, cred, prueba, examen, descarte, hemoglobina, bebe","""🛡️ En el control CRED de los 6 meses, le harán a tu bebé su primer dosaje de *hemoglobina* (un pinchacito en el dedo). Esta prueba es vital para saber si tiene *anemia* y necesita tratamiento, o si debe seguir solo con su prevención.""","""No tengas miedo del pinchacito, es una prueba rápida y muy necesaria para su salud.""",17,Resolucion_Ministerial_n_251_2024_MINSA.pdf,https://drive.google.com/file/d/1hZSXK8y7sbgNLRXKrxErAFSkjh8kfkW0/view?usp=drive_link
ANMI-0046,Prevención (Bebés),Controles CRED (Frecuencia),"cred, controles, cuanto","""🛡️ Durante el primer año, los *controles CRED* son mensuales. Es importante no faltar a ninguno para que el *personal de salud* pueda seguir su crecimiento y asegurarse de que esté recibiendo su suplementación.""","""Pregunta en tu centro de salud el calendario exacto de controles.""",13,Resolucion_Ministerial_n_251_2024_MINSA.pdf,https://drive.google.com/file/d/1hZSXK8y7sbgNLRXKrxErAFSkjh8kfkW0/view?usp=drive_link
ANMI-0047,Prevención (Gestantes),Medidas Clave (General),"embarazada, anemia, consejos, prevenir, estoy, evitar, gestante, embarazo","""🛡️ ¡Felicidades por tu embarazo! Para prevenir la anemia es fundamental que:
*1.* Acudas a tus controles prenatales desde el inicio.
*2.* Tomes tu pastilla de hierro y ácido fólico todos los días.
*3.* Comas alimentos ricos en hierro (hígado, sangrecita, carnes rojas).""","""Cuidarte tú es cuidar a tu bebé. Sigue siempre las indicaciones de tu obstetra o médico.""",32,Resolucion_Ministerial_n_251_2024_MINSA.pdf,https://drive.google.com/file/d/1hZSXK8y7sbgNLRXKrxErAFSkjh8kfkW0/view?usp=drive_link
ANMI-0048,Prevención (Gestantes),Medidas Clave (Variación),"embarazo, cuidarme, tips, gestante, hierro","""🛡️ Claro. Lo más importante es empezar tus *controles prenatales* ya. Allí te darán tus suplementos de hierro y *ácido fólico*. Además, en casa, refuerza tu comida con alimentos como el bazo o las carnes rojas (5 cucharadas al día).""","""Esta información es general. La dosis de tu suplemento te la indicará el personal de salud.""",18,Recomendaciones para la prevención y el tratamiento de la deficiencia de hierro.pdf,https://drive.google.com/file/d/123N-iO-jF5GRCPCRPBIClJ9QHPlXh0AI/view?usp=drive_link
ANMI-0049,Prevención (Gestantes),Controles Prenatales (Importancia),"control, prenatal, sirve, importancia, embarazo","""🛡️ Acudir a tus *controles prenatales* es vital. Sirven para vigilar tu salud y el crecimiento de tu bebé, detectar a tiempo cualquier riesgo (como la *anemia* o la presión alta) y recibir tus suplementos.""","""Debes empezar tus controles tan pronto sepas que estás embarazada.""",19,Recomendaciones para la prevención y el tratamiento de la deficiencia de hierro.pdf,https://drive.google.com/file/d/123N-iO-jF5GRCPCRPBIClJ9QHPlXh0AI/view?usp=drive_link
ANMI-0050,Prevención (Gestantes),Controles Prenatales (Descarte) (Hemoglobina),"anemia, hacen, prueba, examen, descarte, hemoglobina, embarazada, gestante, embarazo","""🛡️ En tu primer *control prenatal* te harán un examen de sangre (*hemoglobina*) para descartar si tienes anemia. Luego, te harán controles en la semana 25-28 y cerca al final (semana 37-40) para ver cómo sigues.""","""Detectar la anemia a tiempo en el embarazo es clave para tu salud y la de tu bebé.""",17,Resolucion_Ministerial_n_251_2024_MINSA.pdf,https://drive.google.com/file/d/1hZSXK8y7sbgNLRXKrxErAFSkjh8kfkW0/view?usp=drive_link
